,track,artist,genre,week,Ranking
6681,Kryptonite,3 Doors Down,Rock,22,7.0
6682,Thong Song,Sisqo,Rock,22,8.0
6683,I Turn To You,"Aguilera, Christina",Rock,22,50.0
6684,My Love Is Your Love,"Houston, Whitney",Rock,22,10.0
6685,I Wanna Know,Joe,Rock,22,11.0
6686,Get It On.. Tonite,"Jordan, Montell",Rap,22,9.0
6687,Bye Bye Bye,N'Sync,Rock,22,34.0
6688,The Real Slim Shady,Eminem,Rap,22,
6689,Most Girls,Pink,Rock,22,16.0
6690,Gotta Tell You,"Mumba, Samantha",Rock,22,36.0
6691,Bring It All To Me,Blaque,Pop,22,17.0
6692,Hot Boyz,"Elliott, Missy ""Misdemeanor""",Rap,22,
6693,I Try,"Gray, Macy",Rock,22,16.0
6694,This I Promise You,N'Sync,Rock,22,30.0
6695,No More,Ruff Endz,Rock,22,22.0
6696,Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",Rock,22,34.0
6697,Absolutely (Story Of A Girl),Nine Days,Rock,22,18.0
6698,That's The Way It Is,"Dion, Celine",Rock,22,10.0
6699,All The Small Things,Blink-182,Rock,22,41.0
6700,Blue (Da Ba Dee),Eiffel 65,Electronica,22,
6701,Bag Lady,"Badu, Erkyah",Rock,22,
6702,There U Go,Pink,Rock,22,9.0
6703,Higher,Creed,Rock,22,
6704,(Hot S**t) Country Grammar,Nelly,Rap,22,7.0
6705,Wifey,Next,Rock,22,
6706,Auld Lang Syne (The Millenium Mix),Kenny G,Jazz,22,
6707,It Feels So Good,Sonique,Rock,22,31.0
6708,Oops!.. I Did It Again,"Spears, Britney",Rock,22,
6709,Shape Of My Heart,"Backstreet Boys, The",Rock,22,
6710,Wonderful,Everclear,Rock,22,
6711,Between Me And You,Ja Rule,Rap,22,
6712,I Need You,"Rimes, LeAnn",Country,22,24.0
6713,Then The Morning Comes,Smash Mouth,Rock,22,31.0
6714,I Just Wanna Love U (Give It 2 Me),Jay-Z,Rap,22,
6715,Let's Get Married,Jagged Edge,Rock,22,29.0
6716,Take A Picture,Filter,Rock,22,
6717,She Bangs,"Martin, Ricky",Latin,22,
6718,Shake Ya Ass,Mystikal,Rap,22,
6719,Back Here,BBMak,Rock,22,17.0
6720,From The Bottom Of My Broken Heart,"Spears, Britney",Rock,22,
6721,Never Let You Go,Third Eye Blind,Rock,22,46.0
6722,Otherside,Red Hot Chili Peppers,Rock,22,45.0
6723,Liar,Profyle,R&B,22,
6724,Pinch Me,Barenaked Ladies,Rock,22,
6725,He Can't Love U,Jagged Edge,Rock,22,
6726,Wobble Wobble,504 Boyz,Rap,22,
6727,Desert Rose,Sting,Rock,22,32.0
6728,Big Pimpin',Jay-Z,Rap,22,
6729,Only God Knows Why,Kid Rock,Rock,22,
6730,Learn To Fly,Foo Fighters,Rock,22,
6731,Goodbye Earl,"Dixie Chicks, The",Country,22,
6732,Dancin',Guy,R&B,22,
6733,Bounce With Me,Lil Bow Wow,Rap,22,100.0
6734,Swear It Again,Westlife,Rock,22,
6735,Meet Virginia,Train,Rock,22,37.0
6736,I Wish,"Thomas, Carl",Rock,22,
6737,This Time Around,Hanson,Country,22,
6738,I Think I'm In Love With You,"Simpson, Jessica",Pop,22,
6739,What's Your Fantasy,Ludacris,Rap,22,47.0
6740,Callin' Me,Lil' Zane,Rap,22,
6741,Don't Say You Love Me,M2M,Pop,22,
6742,Faded,SoulDecision,Rock,22,38.0
6743,Yes!,"Brock, Chad",Country,22,
6744,Shake Your Bon-Bon,"Martin, Ricky",Latin,22,
6745,You're A God,Vertical Horizon,Rock,22,
6746,Separated,Avant,Rock,22,
6747,Big Deal,"Rimes, LeAnn",Country,22,
6748,Stay The Night,IMx,Rap,22,
6749,The Next Episode,Dr. Dre,Rap,22,
6750,Lucky,"Spears, Britney",Rock,22,
6751,Crash And Burn,Savage Garden,Rock,22,
6752,Don't Think I'm Not,Kandi,Rock,22,40.0
6753,I Like It,Sammie,Rock,22,
6754,Broadway,Goo Goo Dolls,Rock,22,
6755,I Wanna Be With You,"Moore, Mandy",Pop,22,93.0
6756,Forgot About Dre,Dr. Dre,Rap,22,
6757,Untitled (How Does It Feel),D'Angelo,R&B,22,
6758,That's The Way,"Messina, Jo Dee",Country,22,
6759,My First Love,Avant,Rock,22,
6760,A Puro Dolor (Purest Of Pain),Son By Four,Latin,22,28.0
6761,What'Chu Like,Da Brat,Rap,22,
6762,Party Up (Up In Here),DMX,Rap,22,
6763,Cowboy Take Me Away,"Dixie Chicks, The",Country,22,
6764,My Next Thirty Years,"McGraw, Tim",Country,22,
6765,Best Of Intentions,"Tritt, Travis",Country,22,48.0
6766,Better Off Alone,Alice Deejay,Electronica,22,
6767,Another Dumb Blonde,Hoku,Pop,22,
6768,I Learned From The Best,"Houston, Whitney",Rock,22,
6769,Hanginaround,Counting Crows,Rock,22,
6770,Shackles (Praise You),Mary Mary,Rock,22,
6771,Crybaby,"Carey, Mariah",Rock,22,
6772,My Best Friend,"McGraw, Tim",Country,22,
6773,Falls Apart,Sugar Ray,Rock,22,
6774,American Pie,Madonna,Rock,22,
6775,Where I Wanna Be,"Jones, Donell",Rock,22,
6776,We Danced,"Paisley, Brad",Country,22,
6777,What About Now,Lonestar,Country,22,
6778,The One,"Backstreet Boys, The",Rock,22,
6779,How Do You Like Me Now?!,"Keith, Toby",Country,22,
6780,The Best Day,"Strait, George",Country,22,
6781,Without You,"Dixie Chicks, The",Country,22,
6782,Just Friends (Sunny),Musiq,Rap,22,
6783,What Do You Say,"McEntire, Reba",Country,22,
6784,Just Be A Man About It,"Braxton, Toni",Rock,22,
6785,Rhythm Divine,"Iglesias, Enrique",Latin,22,
6786,I Will Love Again,"Fabian, Lara",Pop,22,
6787,It's My Life,Bon Jovi,Rock,22,
6788,Born To Fly,"Evans, Sara",Country,22,
6789,I Lost It,"Chesney, Kenny",Country,22,
6790,One Night Stand,J-Shin,R&B,22,
6791,Love Is Blind,Eve,Rap,22,
6792,I Don't Wanna,Aaliyah,Rock,22,
6793,The Little Girl,"Montgomery, John Michael",Country,22,
6794,Aaron's Party (Come Get It),"Carter, Aaron",R&B,22,
6795,Just Another Day In Paradise,"Vassar, Phil",Country,22,
6796,You Can Do It,Ice Cube,Rap,22,
6797,Back At One,"Wills, Mark",Country,22,
6798,Dance Tonight,Lucy Pearl,R&B,22,
6799,It Must Be Love,"Jackson, Alan",Country,22,
6800,She's More,"Griggs, Andy",Country,22,
6801,Simple Kind Of Life,No Doubt,Rock,22,
6802,911,"Jean, Wyclef",Rap,22,
6803,Prayin' For Daylight,Rascal Flatts,Country,22,
6804,Graduation (Friends Forever),Vitamin C,Rock,22,
6805,One Voice,"Gilman, Billy",Country,22,
6806,Smile,Lonestar,Country,22,
6807,Buy Me A Rose,"Rogers, Kenny",Country,22,
6808,Lessons Learned,"Lawrence, Tracy",Country,22,
6809,Go On,"Strait, George",Country,22,
6810,Got To Get It,Sisqo,Rock,22,
6811,Who Let The Dogs Out,Baha Men,R&B,22,
6812,The Chain Of Love,"Walker, Clay",Country,22,
6813,Love's The Only House,"McBride, Martina",Country,22,
6814,Sexual (Li Da Di),Amber,Rock,22,79.0
6815,Kiss This,"Tippin, Aaron",Country,22,
6816,I Will.. But,SheDaisy,Country,22,
6817,Couldn't Last A Moment,"Raye, Collin",Country,22,
6818,Whoa!,Black Rob,Rap,22,
6819,Pop A Top,"Jackson, Alan",Country,22,
6820,Been There,"Black, Clint",Country,22,
6821,The Light,Common,Rap,22,
6822,Carlene,"Vassar, Phil",Country,22,
6823,www.memory,"Jackson, Alan",Country,22,
6824,The Itch,Vitamin C,Rock,22,
6825,G'D Up,"Eastsidaz, The",Rap,22,
6826,Whatever,Ideal,R&B,22,
6827,Emotional,"Thomas, Carl",Rock,22,
6828,None Of Ur Friends Business,Ginuwine,Rock,22,
6829,Unconditional,"Davidson, Clay",Country,22,
6830,What You Want,DMX,Rap,22,
6831,Someday Out Of The Blue,"John, Elton",Rock,22,
6832,Nothing As It Seems,Pearl Jam,Rock,22,
6833,The Best Of Me,Mya,Rock,22,
6834,Flowers On The Wall,"Heatherly, Eric",Country,22,
6835,Stan,Eminem,Rap,22,
6836,I'll Be,"McEntire, Reba",Country,22,
6837,Feelin' Good,"Lopez, Jennifer",Latin,22,
6838,Your Everything,"Urban, Keith",Country,22,
6839,Dear Lie,TLC,Rock,22,
6840,Feels Like Love,"Gill, Vince",Country,22,
6841,Could I Have This Kiss Forever,"Houston, Whitney",Rock,22,
6842,The Bad Touch,Bloodhound Gang,R&B,22,
6843,Angels,"Williams, Robbie",Rock,22,
6844,Because You Love Me,"Messina, Jo Dee",Country,22,
6845,Country Comes To Town,"Keith, Toby",Country,22,
6846,Girls Dem Sugar,Beenie Man,Reggae,22,
6847,Let's Make Love,"Hill, Faith",Rap,22,
6848,Caught Out There,Kelis,R&B,22,
6849,Anything,Jay-Z,Rap,22,
6850,Loser,3 Doors Down,Rock,22,
6851,You'll Always Be Loved By Me,Brooks & Dunn,Country,22,
6852,What I Need To Do,"Chesney, Kenny",Country,22,
6853,No More Rain (In This Cloud),"Stone, Angie",R&B,22,
6854,That's What I'm Looking For,Da Brat,Rap,22,
6855,This Woman Needs,SheDaisy,Country,22,
6856,Last Resort,Papa Roach,Rock,22,
6857,Open My Heart,"Adams, Yolanda",Gospel,22,
6858,Bad Boyz,Shyne,Rap,22,
6859,The Great Beyond,R.E.M.,Rock,22,
6860,It's Always Somethin',"Diffie, Joe",Country,22,
6861,Some Things Never Change,"McGraw, Tim",Country,22,
6862,Taking You Home,"Henley, Don",Rock,22,
6863,The Way I Am,Eminem,Rap,22,
6864,You Owe Me,Nas,R&B,22,
6865,Change Your Mind,Sister Hazel,Rock,22,
6866,Best Friend,Puff Daddy,Rap,22,
6867,There You Are,"McBride, Martina",Country,22,
6868,Pop Ya Collar,Usher,Rock,22,
6869,No Matter What They Say,Lil' Kim,Rap,22,
6870,I Don't Wanna Kiss You Goodnight,LFO,Rock,22,
6871,Deck The Halls,SheDaisy,Country,22,
6872,I Think God Can Explain,Splender,R&B,22,
6873,Where You Are,"Simpson, Jessica",Rock,22,
6874,Mirror Mirror,M2M,Pop,22,
6875,U Don't Love Me,Kumbia Kings,R&B,22,
6876,Treat Her Like A Lady,Joe,Rock,22,
6877,Deep Inside,"Blige, Mary J.",Rock,22,
6878,You Should've Told Me,"Price, Kelly",Rock,22,
6879,That Other Woman,Changing Faces,Rock,22,
6880,It Was,"Wright, Chely",R&B,22,
6881,Rollin',Limp Bizkit,Rock,22,
6882,I Need A Hot Girl,Hot Boys,Rap,22,
6883,Do It Again (Put Ya Hands Up),Jay-Z,Rap,22,
6884,More,"Adkins, Trace",Country,22,
6885,Cold Day In July,"Dixie Chicks, The",Country,22,
6886,As We Lay,"Price, Kelly",Rock,22,
6887,What's My Name,DMX,Rap,22,
6888,Private Emotion,"Martin, Ricky",Latin,22,
6889,If I Am,Nine Days,Rock,22,
6890,Give Me You,"Blige, Mary J.",Rock,22,
6891,Californication,Red Hot Chili Peppers,Rock,22,
6892,Deep Inside Of You,Third Eye Blind,Rock,22,
6893,Do What You Gotta Do,"Brooks, Garth",Country,22,
6894,Original Prankster,"Offspring, The",Rock,22,
6895,My Baby You,"Anthony, Marc",Latin,22,
6896,"Same Script, Different Cast","Houston, Whitney",Rock,22,
6897,Left & Right,D'Angelo,R&B,22,
6898,I Belong To You,"Kravitz, Lenny",Rock,22,
6899,That's The Kind Of Mood I'm In,"Loveless, Patty",Country,22,
6900,Breathe And Stop,Q-Tip,Rock,22,
6901,Can't Fight The Moonlight,"Rimes, LeAnn",Country,22,
6902,Tha Block Is Hot,Lil Wayne,Rap,22,
6903,Baby Don't Cry (Keep Ya Head Up II),2 Pac,Rap,22,
6904,Sleepwalker,"Wallflowers, The",Rock,22,
6905,"Left, Right, Left",Drama,Rap,22,
6906,N 2 Gether Now,Limp Bizkit,Rock,22,
6907,"Ryde or Die, Chick",Lox,Rap,22,
6908,Whistle While You Twurk,Ying Yang Twins,Rap,22,
6909,"Live, Laugh, Love","Walker, Clay",Country,22,
6910,No Leaf Clover (Live),Metallica,Rock,22,
6911,Another Nine Minutes,Yankee Grey,Country,22,
6912,Tricky Tricky ,"Bega, Lou",Rock,22,
6913,It's So Hard,Big Punisher,Rap,22,
6914,When You Need My Love,"Worley, Darryl",Country,22,
6915,How Many Licks?,Lil' Kim,Rap,22,
6916,A Little Gasoline,"Clark, Terri",Country,22,
6917,A Country Boy Can Survive,"Brock, Chad",Country,22,
6918,My Love Goes On And On,"Cagle, Chris",Country,22,
6919,Put Your Hand In Mine,"Byrd, Tracy",Country,22,
6920,I Disappear,Metallica,Rock,22,
6921,Hey Papi,Jay-Z,Rap,22,
6922,The Rockafeller Skank,Fatboy Slim,Electronica,22,
6923,Mr. Too Damn Good,"Levert, Gerald",R&B,22,
6924,Stay Or Let It Go,"McKnight, Brian",Rock,22,
6925,Smoke Rings In The Dark,"Allan, Gary",Country,22,
6926,The Best Man I Can Be,Ginuwine,Rock,22,
6927,Monica,Before Dark,Rock,22,
6928,No Me Dejes De Querer,"Estefan, Gloria",Rock,22,
6929,Sour Girl,Stone Temple Pilots,Rock,22,
6930,Daddy Won't Sell The Farm,Montgomery Gentry,Country,22,
6931,You Won't Be Lonely Now,"Cyrus, Billy Ray",Country,22,
6932,Meanwhile Back At The Ranch,Clark Family Experience,Country,22,
6933,Summer Rain,"Thomas, Carl",Rock,22,
6934,Real Live Woman,"Yearwood, Trisha",Country,22,
6935,Shut Up,Trick Daddy,Rap,22,
6936,Straight Up,"Moore, Chante",Rock,22,
6937,What Means The World To You,Cam'ron,Rap,22,
6938,U Understand,Juvenile,Rap,22,
6939,Can't Stay,"Hollister, Dave",Rock,22,
6940,Can't Go For That,Tamia,Rock,22,
6941,West Side Story,LFO,Rock,22,
6942,Me Neither,"Paisley, Brad",Country,22,
6943,Take That,"Carter, Torrey",Rock,22,
6944,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Ge+her,R&B,22,
6945,Don't Call Me Baby,Madison Avenue,Electronica,22,
6946,Got It All,Eve,Rap,22,
6947,Re-Arranged,Limp Bizkit,Rock,22,
6948,Still In My Heart,"Spencer, Tracie",Rock,22,
6949,3 Little Words,Nu Flavor,R&B,22,
6950,If You Don't Wanna Love Me,Tamar,Rock,22,
6951,Baby U Are,"Levert, Gerald",R&B,22,
6952,L.A. Song,"Hart, Beth",Country,22,
6953,The Quittin' Kind,"Diffie, Joe",Country,22,
6954,Do You,Funkmaster Flex,Rap,22,
6955,Love Sets You Free,"Price, Kelly",Rock,22,
6956,Riddle,En Vogue,Rock,22,
6957,No Mercy,"Herndon, Ty",Country,22,
6958,I'm Outta Love,Anastacia,Pop,22,
6959,Pull Over,Trina,Rap,22,
6960,Ta Da,Lil' Mo,Rap,22,
6961,Dancing Queen,A*Teens,Pop,22,
6962,Where I Wanna Be,"Sheist, Shade",Rap,22,
6963,All Good?,De La Soul,Rap,22,
6964,Get Up,"Larrieux, Amel",R&B,22,
6965,Spanish Guitar,"Braxton, Toni",Rock,22,
6966,I Know,Tuesday,Rock,22,
6967,Imagine That,LL Cool J,Rap,22,
6968,Souljas,Master P,Rap,22,
6969,Cherchez LaGhost,Ghostface Killah,R&B,22,
6970,Freakin' It,"Smith, Will",Rap,22,
6971,Kernkraft 400,Zombie Nation,Rock,22,
6972,Got Beef,"Eastsidaz, The",Rap,22,
6973,Toca's Miracle,Fragma,R&B,22,
6974,Independent Women Part I,Destiny's Child,Rock,23,10.0
6975,"Maria, Maria",Santana,Rock,23,26.0
6976,I Knew I Loved You,Savage Garden,Rock,23,8.0
6977,Music,Madonna,Rock,23,29.0
6978,Come On Over Baby (All I Want Is You),"Aguilera, Christina",Rock,23,
6979,Doesn't Really Matter,Janet,Rock,23,40.0
6980,Say My Name,Destiny's Child,Rock,23,10.0
6981,Be With You,"Iglesias, Enrique",Latin,23,
6982,Incomplete,Sisqo,Rock,23,25.0
6983,Amazed,Lonestar,Country,23,
6984,It's Gonna Be Me,N'Sync,Rock,23,28.0
6985,What A Girl Wants,"Aguilera, Christina",Rock,23,39.0
6986,Everything You Want,Vertical Horizon,Rock,23,3.0
6987,With Arms Wide Open,Creed,Rock,23,5.0
6988,Try Again,Aaliyah,Rock,23,6.0
6989,Bent,matchbox twenty,Rock,23,6.0
6990,Thank God I Found You,"Carey, Mariah",Rock,23,
6991,Breathe,"Hill, Faith",Rap,23,3.0
6992,Case Of The Ex (Whatcha Gonna Do),Mya,Rock,23,4.0
6993,He Loves U Not,Dream,Rock,23,10.0
6994,He Wasn't Man Enough,"Braxton, Toni",Rock,23,13.0
6995,You Sang To Me,"Anthony, Marc",Latin,23,20.0
6996,Give Me Just One Night (Una Noche),98¡,Rock,23,
6997,Jumpin' Jumpin',Destiny's Child,Rock,23,6.0
6998,Kryptonite,3 Doors Down,Rock,23,6.0
6999,Thong Song,Sisqo,Rock,23,13.0
7000,I Turn To You,"Aguilera, Christina",Rock,23,
7001,My Love Is Your Love,"Houston, Whitney",Rock,23,11.0
7002,I Wanna Know,Joe,Rock,23,10.0
7003,Get It On.. Tonite,"Jordan, Montell",Rap,23,9.0
7004,Bye Bye Bye,N'Sync,Rock,23,40.0
7005,The Real Slim Shady,Eminem,Rap,23,
7006,Most Girls,Pink,Rock,23,18.0
7007,Gotta Tell You,"Mumba, Samantha",Rock,23,
7008,Bring It All To Me,Blaque,Pop,23,18.0
7009,Hot Boyz,"Elliott, Missy ""Misdemeanor""",Rap,23,
7010,I Try,"Gray, Macy",Rock,23,21.0
7011,This I Promise You,N'Sync,Rock,23,30.0
7012,No More,Ruff Endz,Rock,23,23.0
7013,Show Me The Meaning Of Being Lonely,"Backstreet Boys, The",Rock,23,45.0
7014,Absolutely (Story Of A Girl),Nine Days,Rock,23,26.0
7015,That's The Way It Is,"Dion, Celine",Rock,23,14.0
7016,All The Small Things,Blink-182,Rock,23,43.0
7017,Blue (Da Ba Dee),Eiffel 65,Electronica,23,
7018,Bag Lady,"Badu, Erkyah",Rock,23,
7019,There U Go,Pink,Rock,23,12.0
7020,Higher,Creed,Rock,23,
7021,(Hot S**t) Country Grammar,Nelly,Rap,23,8.0
7022,Wifey,Next,Rock,23,
7023,Auld Lang Syne (The Millenium Mix),Kenny G,Jazz,23,
7024,It Feels So Good,Sonique,Rock,23,38.0
7025,Oops!.. I Did It Again,"Spears, Britney",Rock,23,
7026,Shape Of My Heart,"Backstreet Boys, The",Rock,23,
7027,Wonderful,Everclear,Rock,23,
7028,Between Me And You,Ja Rule,Rap,23,
7029,I Need You,"Rimes, LeAnn",Country,23,25.0
7030,Then The Morning Comes,Smash Mouth,Rock,23,33.0
7031,I Just Wanna Love U (Give It 2 Me),Jay-Z,Rap,23,
7032,Let's Get Married,Jagged Edge,Rock,23,36.0
7033,Take A Picture,Filter,Rock,23,
7034,She Bangs,"Martin, Ricky",Latin,23,
7035,Shake Ya Ass,Mystikal,Rap,23,
7036,Back Here,BBMak,Rock,23,16.0
7037,From The Bottom Of My Broken Heart,"Spears, Britney",Rock,23,
7038,Never Let You Go,Third Eye Blind,Rock,23,
7039,Otherside,Red Hot Chili Peppers,Rock,23,
7040,Liar,Profyle,R&B,23,
7041,Pinch Me,Barenaked Ladies,Rock,23,
7042,He Can't Love U,Jagged Edge,Rock,23,
7043,Wobble Wobble,504 Boyz,Rap,23,
7044,Desert Rose,Sting,Rock,23,42.0
7045,Big Pimpin',Jay-Z,Rap,23,
7046,Only God Knows Why,Kid Rock,Rock,23,
7047,Learn To Fly,Foo Fighters,Rock,23,
7048,Goodbye Earl,"Dixie Chicks, The",Country,23,
7049,Dancin',Guy,R&B,23,
7050,Bounce With Me,Lil Bow Wow,Rap,23,
7051,Swear It Again,Westlife,Rock,23,
7052,Meet Virginia,Train,Rock,23,37.0
7053,I Wish,"Thomas, Carl",Rock,23,
7054,This Time Around,Hanson,Country,23,
7055,I Think I'm In Love With You,"Simpson, Jessica",Pop,23,
7056,What's Your Fantasy,Ludacris,Rap,23,
7057,Callin' Me,Lil' Zane,Rap,23,
7058,Don't Say You Love Me,M2M,Pop,23,
7059,Faded,SoulDecision,Rock,23,45.0
7060,Yes!,"Brock, Chad",Country,23,
7061,Shake Your Bon-Bon,"Martin, Ricky",Latin,23,
7062,You're A God,Vertical Horizon,Rock,23,
7063,Separated,Avant,Rock,23,
7064,Big Deal,"Rimes, LeAnn",Country,23,
7065,Stay The Night,IMx,Rap,23,
7066,The Next Episode,Dr. Dre,Rap,23,
7067,Lucky,"Spears, Britney",Rock,23,
7068,Crash And Burn,Savage Garden,Rock,23,
7069,Don't Think I'm Not,Kandi,Rock,23,36.0
7070,I Like It,Sammie,Rock,23,
7071,Broadway,Goo Goo Dolls,Rock,23,
7072,I Wanna Be With You,"Moore, Mandy",Pop,23,91.0
7073,Forgot About Dre,Dr. Dre,Rap,23,
7074,Untitled (How Does It Feel),D'Angelo,R&B,23,
7075,That's The Way,"Messina, Jo Dee",Country,23,
7076,My First Love,Avant,Rock,23,
7077,A Puro Dolor (Purest Of Pain),Son By Four,Latin,23,30.0
7078,What'Chu Like,Da Brat,Rap,23,
7079,Party Up (Up In Here),DMX,Rap,23,
7080,Cowboy Take Me Away,"Dixie Chicks, The",Country,23,
7081,My Next Thirty Years,"McGraw, Tim",Country,23,
7082,Best Of Intentions,"Tritt, Travis",Country,23,
7083,Better Off Alone,Alice Deejay,Electronica,23,
7084,Another Dumb Blonde,Hoku,Pop,23,
7085,I Learned From The Best,"Houston, Whitney",Rock,23,
7086,Hanginaround,Counting Crows,Rock,23,
7087,Shackles (Praise You),Mary Mary,Rock,23,
7088,Crybaby,"Carey, Mariah",Rock,23,
7089,My Best Friend,"McGraw, Tim",Country,23,
7090,Falls Apart,Sugar Ray,Rock,23,
7091,American Pie,Madonna,Rock,23,
7092,Where I Wanna Be,"Jones, Donell",Rock,23,
7093,We Danced,"Paisley, Brad",Country,23,
7094,What About Now,Lonestar,Country,23,
7095,The One,"Backstreet Boys, The",Rock,23,
7096,How Do You Like Me Now?!,"Keith, Toby",Country,23,
7097,The Best Day,"Strait, George",Country,23,
7098,Without You,"Dixie Chicks, The",Country,23,
7099,Just Friends (Sunny),Musiq,Rap,23,
7100,What Do You Say,"McEntire, Reba",Country,23,
7101,Just Be A Man About It,"Braxton, Toni",Rock,23,
7102,Rhythm Divine,"Iglesias, Enrique",Latin,23,
7103,I Will Love Again,"Fabian, Lara",Pop,23,
7104,It's My Life,Bon Jovi,Rock,23,
7105,Born To Fly,"Evans, Sara",Country,23,
7106,I Lost It,"Chesney, Kenny",Country,23,
7107,One Night Stand,J-Shin,R&B,23,
7108,Love Is Blind,Eve,Rap,23,
7109,I Don't Wanna,Aaliyah,Rock,23,
7110,The Little Girl,"Montgomery, John Michael",Country,23,
7111,Aaron's Party (Come Get It),"Carter, Aaron",R&B,23,
7112,Just Another Day In Paradise,"Vassar, Phil",Country,23,
7113,You Can Do It,Ice Cube,Rap,23,
7114,Back At One,"Wills, Mark",Country,23,
7115,Dance Tonight,Lucy Pearl,R&B,23,
7116,It Must Be Love,"Jackson, Alan",Country,23,
7117,She's More,"Griggs, Andy",Country,23,
7118,Simple Kind Of Life,No Doubt,Rock,23,
7119,911,"Jean, Wyclef",Rap,23,
7120,Prayin' For Daylight,Rascal Flatts,Country,23,
7121,Graduation (Friends Forever),Vitamin C,Rock,23,
7122,One Voice,"Gilman, Billy",Country,23,
7123,Smile,Lonestar,Country,23,
7124,Buy Me A Rose,"Rogers, Kenny",Country,23,
7125,Lessons Learned,"Lawrence, Tracy",Country,23,
7126,Go On,"Strait, George",Country,23,
7127,Got To Get It,Sisqo,Rock,23,
7128,Who Let The Dogs Out,Baha Men,R&B,23,
7129,The Chain Of Love,"Walker, Clay",Country,23,
7130,Love's The Only House,"McBride, Martina",Country,23,
7131,Sexual (Li Da Di),Amber,Rock,23,76.0
7132,Kiss This,"Tippin, Aaron",Country,23,
7133,I Will.. But,SheDaisy,Country,23,
7134,Couldn't Last A Moment,"Raye, Collin",Country,23,
7135,Whoa!,Black Rob,Rap,23,
7136,Pop A Top,"Jackson, Alan",Country,23,
7137,Been There,"Black, Clint",Country,23,
7138,The Light,Common,Rap,23,
7139,Carlene,"Vassar, Phil",Country,23,
7140,www.memory,"Jackson, Alan",Country,23,
7141,The Itch,Vitamin C,Rock,23,
7142,G'D Up,"Eastsidaz, The",Rap,23,
7143,Whatever,Ideal,R&B,23,
7144,Emotional,"Thomas, Carl",Rock,23,
7145,None Of Ur Friends Business,Ginuwine,Rock,23,
7146,Unconditional,"Davidson, Clay",Country,23,
7147,What You Want,DMX,Rap,23,
7148,Someday Out Of The Blue,"John, Elton",Rock,23,
7149,Nothing As It Seems,Pearl Jam,Rock,23,
7150,The Best Of Me,Mya,Rock,23,
7151,Flowers On The Wall,"Heatherly, Eric",Country,23,
7152,Stan,Eminem,Rap,23,
7153,I'll Be,"McEntire, Reba",Country,23,
7154,Feelin' Good,"Lopez, Jennifer",Latin,23,
7155,Your Everything,"Urban, Keith",Country,23,
7156,Dear Lie,TLC,Rock,23,
7157,Feels Like Love,"Gill, Vince",Country,23,
7158,Could I Have This Kiss Forever,"Houston, Whitney",Rock,23,
7159,The Bad Touch,Bloodhound Gang,R&B,23,
7160,Angels,"Williams, Robbie",Rock,23,
7161,Because You Love Me,"Messina, Jo Dee",Country,23,
7162,Country Comes To Town,"Keith, Toby",Country,23,
7163,Girls Dem Sugar,Beenie Man,Reggae,23,
7164,Let's Make Love,"Hill, Faith",Rap,23,
7165,Caught Out There,Kelis,R&B,23,
7166,Anything,Jay-Z,Rap,23,
7167,Loser,3 Doors Down,Rock,23,
7168,You'll Always Be Loved By Me,Brooks & Dunn,Country,23,
7169,What I Need To Do,"Chesney, Kenny",Country,23,
7170,No More Rain (In This Cloud),"Stone, Angie",R&B,23,
7171,That's What I'm Looking For,Da Brat,Rap,23,
7172,This Woman Needs,SheDaisy,Country,23,
7173,Last Resort,Papa Roach,Rock,23,
7174,Open My Heart,"Adams, Yolanda",Gospel,23,
7175,Bad Boyz,Shyne,Rap,23,
7176,The Great Beyond,R.E.M.,Rock,23,
7177,It's Always Somethin',"Diffie, Joe",Country,23,
7178,Some Things Never Change,"McGraw, Tim",Country,23,
7179,Taking You Home,"Henley, Don",Rock,23,
7180,The Way I Am,Eminem,Rap,23,
7181,You Owe Me,Nas,R&B,23,
7182,Change Your Mind,Sister Hazel,Rock,23,
7183,Best Friend,Puff Daddy,Rap,23,
7184,There You Are,"McBride, Martina",Country,23,
7185,Pop Ya Collar,Usher,Rock,23,
7186,No Matter What They Say,Lil' Kim,Rap,23,
7187,I Don't Wanna Kiss You Goodnight,LFO,Rock,23,
7188,Deck The Halls,SheDaisy,Country,23,
7189,I Think God Can Explain,Splender,R&B,23,
7190,Where You Are,"Simpson, Jessica",Rock,23,
7191,Mirror Mirror,M2M,Pop,23,
7192,U Don't Love Me,Kumbia Kings,R&B,23,
7193,Treat Her Like A Lady,Joe,Rock,23,
7194,Deep Inside,"Blige, Mary J.",Rock,23,
7195,You Should've Told Me,"Price, Kelly",Rock,23,
7196,That Other Woman,Changing Faces,Rock,23,
7197,It Was,"Wright, Chely",R&B,23,
7198,Rollin',Limp Bizkit,Rock,23,
7199,I Need A Hot Girl,Hot Boys,Rap,23,
7200,Do It Again (Put Ya Hands Up),Jay-Z,Rap,23,
7201,More,"Adkins, Trace",Country,23,
7202,Cold Day In July,"Dixie Chicks, The",Country,23,
7203,As We Lay,"Price, Kelly",Rock,23,
7204,What's My Name,DMX,Rap,23,
7205,Private Emotion,"Martin, Ricky",Latin,23,
7206,If I Am,Nine Days,Rock,23,
7207,Give Me You,"Blige, Mary J.",Rock,23,
